TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-04-16 15:03:04,1776351784907,portifolio-1-api-server-vn61-gst46zyh3.vercel.app/favicon.png,GET,,500,9m648-1776351784658-0e0de852964f,vercel-favicon/1.0,error,production,main,MISS,function,/,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,,,,,"Error [ERR_UNSUPPORTED_DIR_IMPORT]: Directory import '/var/task/artifacts/api-server/src/routes' is not supported resolving ES modules imported from /var/task/artifacts/api-server/src/app.js
    at finalizeResolution (node:internal/modules/esm/resolve:268:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_UNSUPPORTED_DIR_IMPORT',
  url: 'file:///var/task/artifacts/api-server/src/routes'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,,,,,
2026-04-16 15:03:04,1776351784658,portifolio-1-api-server-vn61-gst46zyh3.vercel.app/favicon.png,GET,,500,9m648-1776351784658-0e0de852964f,vercel-favicon/1.0,,production,main,MISS,function,/,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,191,iad1,-1,2048,,prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,01KPBD2BQW1YDKMDY9ZF0VDFSX,,-1,,
2026-04-16 15:03:04,1776351784038,portifolio-1-api-server-vn61.vercel.app/favicon.ico,GET,,500,7lh4w-1776351783591-b6849a6b737f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/,portifolio-1-api-server-vn61.vercel.app,portifolio-1-api-server-vn61.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,,,,,"Error [ERR_UNSUPPORTED_DIR_IMPORT]: Directory import '/var/task/artifacts/api-server/src/routes' is not supported resolving ES modules imported from /var/task/artifacts/api-server/src/app.js
    at finalizeResolution (node:internal/modules/esm/resolve:268:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_UNSUPPORTED_DIR_IMPORT',
  url: 'file:///var/task/artifacts/api-server/src/routes'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,,,,,
2026-04-16 15:03:03,1776351783591,portifolio-1-api-server-vn61.vercel.app/favicon.ico,GET,,500,7lh4w-1776351783591-b6849a6b737f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/,portifolio-1-api-server-vn61.vercel.app,portifolio-1-api-server-vn61.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,190,iad1,-1,2048,,prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,01KPBD2AWQBZYA7J44D5QHE0ZD,,-1,,
2026-04-16 15:03:03,1776351783377,portifolio-1-api-server-vn61.vercel.app/,GET,,500,scxp9-1776351782664-7db360eeb402,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/,portifolio-1-api-server-vn61.vercel.app,portifolio-1-api-server-vn61.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,,,,,"Error [ERR_UNSUPPORTED_DIR_IMPORT]: Directory import '/var/task/artifacts/api-server/src/routes' is not supported resolving ES modules imported from /var/task/artifacts/api-server/src/app.js
    at finalizeResolution (node:internal/modules/esm/resolve:268:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_UNSUPPORTED_DIR_IMPORT',
  url: 'file:///var/task/artifacts/api-server/src/routes'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,,,,,
2026-04-16 15:03:02,1776351782664,portifolio-1-api-server-vn61.vercel.app/,GET,,500,scxp9-1776351782664-7db360eeb402,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/,portifolio-1-api-server-vn61.vercel.app,portifolio-1-api-server-vn61.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,155,iad1,-1,2048,,prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,01KPBD2A95R59XJ9Z3KAFAP3XF,,-1,,
2026-04-16 15:03:02,1776351782531,portifolio-1-api-server-vn61-gst46zyh3.vercel.app/favicon.png,GET,,500,45cbl-1776351782333-5613309871a1,vercel-favicon/1.0,error,production,main,MISS,function,/,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,,,,,"Error [ERR_UNSUPPORTED_DIR_IMPORT]: Directory import '/var/task/artifacts/api-server/src/routes' is not supported resolving ES modules imported from /var/task/artifacts/api-server/src/app.js
    at finalizeResolution (node:internal/modules/esm/resolve:268:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_UNSUPPORTED_DIR_IMPORT',
  url: 'file:///var/task/artifacts/api-server/src/routes'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,,,,,
2026-04-16 15:03:02,1776351782333,portifolio-1-api-server-vn61-gst46zyh3.vercel.app/favicon.png,GET,,500,45cbl-1776351782333-5613309871a1,vercel-favicon/1.0,,production,main,MISS,function,/,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,146,iad1,-1,2048,,prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,01KPBD29F4CRPJQRXMSS4NQ35K,,-1,,
2026-04-16 15:03:01,1776351781209,portifolio-1-api-server-vn61-gst46zyh3.vercel.app/favicon.png,GET,,500,7rxqf-1776351780996-dbb2548304ad,vercel-favicon/1.0,error,production,main,MISS,function,/,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,,,,,"Error [ERR_UNSUPPORTED_DIR_IMPORT]: Directory import '/var/task/artifacts/api-server/src/routes' is not supported resolving ES modules imported from /var/task/artifacts/api-server/src/app.js
    at finalizeResolution (node:internal/modules/esm/resolve:268:11)
    at moduleResolve (node:internal/modules/esm/resolve:870:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:996:14)
    at defaultResolve (node:internal/modules/esm/resolve:1039:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:718:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:735:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:764:52)
    at #resolve (node:internal/modules/esm/loader:700:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:620:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:143:33) {
  code: 'ERR_UNSUPPORTED_DIR_IMPORT',
  url: 'file:///var/task/artifacts/api-server/src/routes'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,,,,,
2026-04-16 15:03:00,1776351780996,portifolio-1-api-server-vn61-gst46zyh3.vercel.app/favicon.png,GET,,500,7rxqf-1776351780996-dbb2548304ad,vercel-favicon/1.0,,production,main,MISS,function,/,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,portifolio-1-api-server-vn61-gst46zyh3.vercel.app,dpl_ELR6YYrFAh6ChLRqQM8cfJPES98Z,151,iad1,-1,2048,,prj_5LBOdaCr05AVtHJgDG4ZC1GgMEYr,,,01KPBD285B13TQKMJ7CVV65FSV,,-1,,
